ID,Gender,Age,Education,Profession,Kids,Consumption,Main Arg,Args,Explanation,Other Arg
P11,Male,18-25,Other,Student,0,3-4 times per week,Health,"A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A8 A healthy diet can be easily created without having to eat meat. Nutritionists can help with balancing food intake and with a healthy variety.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.","Protein diets are standard for me and are a main reason that I eat meat a lot, so a healthy plant-based diet is appealing",NAN
P12,Male,25-34,University Degree,Professional,0,3-4 times per week,Health,"A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A13 Processed meat is not healthy and consuming meat on a daily basis (or even several times a day) isn't either. Reducing your meat consumption and substituting it with fresh vegetables and grains will contribute to a much more balanced diet.;A20 meat is known to cause higher risk of heart disease;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.",If they can prove that meat can be harmful to ones health I am interested in hearing their point of view. Not interested in any of the saving the animals/environment stuff.,NAN
P13,Female,35-44,University Degree,Professional,2,3-4 times per week,Health,"A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A13 Processed meat is not healthy and consuming meat on a daily basis (or even several times a day) isn't either. Reducing your meat consumption and substituting it with fresh vegetables and grains will contribute to a much more balanced diet.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A20 meat is known to cause higher risk of heart disease;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.",Health of my family and me. Including long term future implications for my children (the planet and their health).,NAN
P14,Female,25-34,University Degree,Professional,0,Several times per day,Health,"A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.","The environmental focus was the reason I selected the majority of the counterarguments. Regarding the association between meat and health, I do not eat high amounts of processed meat and have a balanced diet therefore a lot of these counterarguments are not as applicable to met. High consumption of cheese could equally increase your risk of the disorders mentioned and this is suitable for vegetarians.",NAN
P15,Female,45-54,University Degree,Professional,1,1-2 times per week,Health,"A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A20 meat is known to cause higher risk of heart disease;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.","I feel it is important to look after your health, especially trying to reduce anything that can contribute to heart disease and cancer.",NAN
P16,Male,45-54,University Degree,Other,0,5-6 times per week,Health,"A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A13 Processed meat is not healthy and consuming meat on a daily basis (or even several times a day) isn't either. Reducing your meat consumption and substituting it with fresh vegetables and grains will contribute to a much more balanced diet.;A20 meat is known to cause higher risk of heart disease;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.",Personal experience of colonic issues suggests that excesssive comsumption of processed meats can lead to serious health issues.,NAN
P17,Male,45-54,University Degree,Other,0,Several times per day,Health,"A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A13 Processed meat is not healthy and consuming meat on a daily basis (or even several times a day) isn't either. Reducing your meat consumption and substituting it with fresh vegetables and grains will contribute to a much more balanced diet.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A20 meat is known to cause higher risk of heart disease;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.","Generally, those that appealed to me raised a point that was at least partially true, and involved something that mattered to me. Mostly they raised the fact that some meat consumption can increase health risks, and some meat production harms the environment.",NAN
P18,Male,18-25,University Degree,Student,0,3-4 times per week,Health,"A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A8 A healthy diet can be easily created without having to eat meat. Nutritionists can help with balancing food intake and with a healthy variety.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.",I am an environmentally aware person,NAN
P19,Female,25-34,University Degree,Professional,0,5-6 times per week,Filling,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A23 Potatoes and other starchy vegetables and grains and beans are filling too.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A31 Replacing meat doesn't mean replacing it with a salad. Replace it with mock meat or grain/starchy vegetables and your vegetarian meal will fill you up the same way your non-vegetarian did.",Because I do care about the environment and would like to cut back on consumption ,NAN
P20,Female,35-44,High School,Manual Worker,1,5-6 times per week,Filling,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A171  Meat is unhealthy because please tick this box as this is a concentration test.",most of them deal with ensuring a long life. ,NAN
P21,Male,25-34,High School,Non working,0,3-4 times per week,Filling,"A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A33 Grains and Potatoes are just as filling. Reducing meat consumption doesn't mean chewing on celery and carrots all the time. You can make a very filling vegetarian risotto or stew without having to add meat.;A23 Potatoes and other starchy vegetables and grains and beans are filling too.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A31 Replacing meat doesn't mean replacing it with a salad. Replace it with mock meat or grain/starchy vegetables and your vegetarian meal will fill you up the same way your non-vegetarian did.",Mainly because I already enjoy potato/beans/pulses,NAN
P22,Female,25-34,University Degree,Professional,0,Once a day,Filling,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.",They relate to my health or the health of the planet,NAN
P23,Female,25-34,University Degree,Professional,0,3-4 times per week,Filling,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.","I care very much about the environment and animal welfare, plus impacts on my health. ",NAN
P24,Female,45-54,Trade School,Other,2,3-4 times per week,Nutrition,"A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A51 all non-processed, natural food has a lot of vitamins. Spinach and wheat grass have up to 20 vitamins and trace elements. Protein can also be found in a lot of plant-based food.","I agree that less meat is better, but I think meat is an important part of a healthy diet.  I eat smaller portions of meat and larger portions of veggies and fruit.  Processed meat is very bad for you and should be avoided.",NAN
P25,Female,35-44,High School,Manual Worker,0,Several times per day,Nutrition,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A171  Meat is unhealthy because please tick this box as this is a concentration test.",I don't like the thought of animals suffering unnecessarily,NAN
